Time,t,structuralLive,structuralRotation,sessiond,relayd
2025-07-01 10:32:59,263,0.445,0,0.0057143,0.5857143
2025-07-01 10:33:00,264,0.4450318,0,0.0050004,0.5857561
2025-07-01 10:33:01,265,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:33:02,266,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:33:03,267,0.445,0,0.0042857,0.5864286
2025-07-01 10:33:04,268,0.4443175,0,0.0050004,0.5864705
2025-07-01 10:33:05,269,0.4443175,0,0.0050004,0.5864705
2025-07-01 10:33:06,270,0.444254,0,0.0035712,0.5871009
2025-07-01 10:33:07,271,0.4442857,0,0.0035714,0.5864286
2025-07-01 10:33:08,272,0.4450318,0,0.0035717,0.5864705
2025-07-01 10:33:09,273,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:33:10,274,0.445,0,0.0057143,0.5864286
2025-07-01 10:33:11,275,0.445,0,0.0057143,0.5878571
2025-07-01 10:33:12,276,0.4442857,0,0.0042857,0.5871429
2025-07-01 10:33:13,277,0.4442857,0,0.0035714,0.5871429
2025-07-01 10:33:14,278,0.445,0,0.0042857,0.5871429
2025-07-01 10:33:15,279,0.445,0,0.005,0.5871429
2025-07-01 10:33:16,280,0.4442857,0,0.0057143,0.5878571
2025-07-01 10:33:17,281,0.4435397,0,0.0057139,0.5871009
2025-07-01 10:33:18,282,0.445,0,0.0064286,0.5864286
2025-07-01 10:33:19,283,0.4442857,0,0.0064286,0.5857143
2025-07-01 10:33:20,284,0.4443175,0,0.006429,0.5857561
2025-07-01 10:33:21,285,0.445,0,0.0071429,0.5864286
2025-07-01 10:33:22,286,0.4442857,0,0.0071429,0.5857143
2025-07-01 10:33:23,287,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:33:24,288,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:33:25,289,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:33:26,290,0.4449682,0,0.0057139,0.5863867
2025-07-01 10:33:27,291,0.4435714,0,0.0064286,0.5864286
2025-07-01 10:33:28,292,0.4435714,0,0.0057143,0.5864286
2025-07-01 10:33:29,293,0.4435714,0,0.005,0.5864286
2025-07-01 10:33:30,294,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:33:31,295,0.4443175,0,0.004286,0.5864705
2025-07-01 10:33:32,296,0.4442857,0,0.0035714,0.5871429
2025-07-01 10:33:33,297,0.4442857,0,0.0042857,0.5871429
2025-07-01 10:33:34,298,0.4442857,0,0.0042857,0.5871429
2025-07-01 10:33:35,299,0.4436031,0,0.0035717,0.5871848
2025-07-01 10:33:36,300,0.4435714,0,0.0035714,0.5871429
2025-07-01 10:33:37,301,0.445,0,0.0035714,0.5864286
2025-07-01 10:33:38,302,0.4435714,0,0.0042857,0.5871429
2025-07-01 10:33:39,303,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:33:40,304,0.4436031,0,0.0050004,0.5864705
2025-07-01 10:33:41,305,0.4442857,0,0.0035714,0.5871429
2025-07-01 10:33:42,306,0.444254,0,0.0035712,0.5871009
2025-07-01 10:33:43,307,0.4442857,0,0.0035714,0.5871429
2025-07-01 10:33:44,308,0.4442857,0,0.005,0.5864286
2025-07-01 10:33:45,309,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:33:46,310,0.4435397,0,0.0057139,0.5871009
2025-07-01 10:33:47,311,0.4442857,0,0.005,0.5871429
2025-07-01 10:33:48,312,0.4442857,0,0.005,0.5871429
2025-07-01 10:33:49,313,0.4435714,0,0.005,0.5871429
2025-07-01 10:33:50,314,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:33:51,315,0.4435714,0,0.005,0.5871429
2025-07-01 10:33:52,316,0.445,0,0.0042857,0.5871429
2025-07-01 10:33:53,317,0.4435397,0,0.0049996,0.5871009
2025-07-01 10:33:54,318,0.444254,0,0.0049996,0.5871009
2025-07-01 10:33:55,319,0.4442857,0,0.005,0.5864286
2025-07-01 10:33:56,320,0.4443175,0,0.0057147,0.5864705
2025-07-01 10:33:57,321,0.4442857,0,0.0064286,0.5864286
2025-07-01 10:33:58,322,0.4442857,0,0.005,0.5864286
2025-07-01 10:33:59,323,0.4442857,0,0.005,0.5857143
2025-07-01 10:34:00,324,0.4450318,0,0.0050004,0.5857561
2025-07-01 10:34:01,325,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:02,326,0.4435714,0,0.005,0.5864286
2025-07-01 10:34:03,327,0.4449682,0,0.0049996,0.5863867
2025-07-01 10:34:04,328,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:05,329,0.4435714,0,0.005,0.5857143
2025-07-01 10:34:06,330,0.4435714,0,0.005,0.5864286
2025-07-01 10:34:07,331,0.445,0,0.0042857,0.5864286
2025-07-01 10:34:08,332,0.4442857,0,0.0035714,0.5864286
2025-07-01 10:34:09,333,0.444254,0,0.0049996,0.5863867
2025-07-01 10:34:10,334,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:34:11,335,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:34:12,336,0.4435714,0,0.0042857,0.5864286
2025-07-01 10:34:13,337,0.4442857,0,0.0035714,0.5864286
2025-07-01 10:34:14,338,0.4435714,0,0.0035714,0.5864286
2025-07-01 10:34:15,339,0.4435714,0,0.0035714,0.5857143
2025-07-01 10:34:16,340,0.4442857,0,0.0035714,0.5857143
2025-07-01 10:34:17,341,0.4436031,0,0.004286,0.5850418
2025-07-01 10:34:18,342,0.444254,0,0.0035712,0.5863867
2025-07-01 10:34:19,343,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:20,344,0.4435714,0,0.0057143,0.585
2025-07-01 10:34:21,345,0.4436031,0,0.0057147,0.5857561
2025-07-01 10:34:22,346,0.4443175,0,0.0057147,0.5857561
2025-07-01 10:34:23,347,0.4443175,0,0.004286,0.5857561
2025-07-01 10:34:24,348,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:25,349,0.4435714,0,0.0042857,0.585
2025-07-01 10:34:26,350,0.444254,0,0.0042854,0.5856725
2025-07-01 10:34:27,351,0.4435397,0,0.0057139,0.5863867
2025-07-01 10:34:28,352,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:29,353,0.4442857,0,0.005,0.5871429
2025-07-01 10:34:30,354,0.4435714,0,0.005,0.5871429
2025-07-01 10:34:31,355,0.4442857,0,0.005,0.5871429
2025-07-01 10:34:32,356,0.4443175,0,0.006429,0.5864705
2025-07-01 10:34:33,357,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:34,358,0.444254,0,0.0042854,0.5871009
2025-07-01 10:34:35,359,0.4442857,0,0.005,0.5871429
2025-07-01 10:34:36,360,0.4435714,0,0.0057143,0.5864286
2025-07-01 10:34:37,361,0.4442857,0,0.0064286,0.5871429
2025-07-01 10:34:38,362,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:34:39,363,0.4442857,0,0.0064286,0.5871429
2025-07-01 10:34:40,364,0.4443175,0,0.006429,0.5871848
2025-07-01 10:34:41,365,0.4443175,0,0.0050004,0.5871848
2025-07-01 10:34:42,366,0.445,0,0.0057143,0.5864286
2025-07-01 10:34:43,367,0.445,0,0.0071429,0.5864286
2025-07-01 10:34:44,368,0.445,0,0.0071429,0.5864286
2025-07-01 10:34:45,369,0.4442857,0,0.0064286,0.5864286
