frequency,num_pairs,influxdb/transmitted_mean,influxdb/transmitted_median,influxdb/transmitted_std,influxdb/transmitted_mad,neo4j/transmitted_mean,neo4j/transmitted_median,neo4j/transmitted_std,neo4j/transmitted_mad,influxdb/received_mean,influxdb/received_median,influxdb/received_std,influxdb/received_mad,neo4j/received_mean,neo4j/received_median,neo4j/received_std,neo4j/received_mad,received/mean,received/median,received/std,received/mad,transmitted/mean,transmitted/median,transmitted/std,transmitted/mad
40,0,5164.303333333333,5164.2,414.64778803738216,7.549999999999727,308.0,308.0,24.718181053149348,0.0,1965.025,1964.0,157.9250139856663,27.25,490.025,489.0,40.022619134345526,24.44999999999999,0,0,0,0,0,0,0,0
40,10,5711.152542372883,5711.2,458.52384864683717,90.0,6268.606779661017,6258.0,471.99286371884864,30.800000000000182,10656.069491525423,10387.5,941.5118094474692,732.0,14058.964406779662,13628.0,1149.0610697378713,947.8999999999996,0,0,0,0,0,0,0,0
40,20,5714.65593220339,5724.1,443.0185312817398,79.59999999999945,12207.477966101695,12208.0,889.6984993122951,528.8999999999996,18622.34406779661,17914.0,1584.270096515806,1114.2999999999993,27553.537288135598,26810.9,2017.431464365818,1846.3999999999978,0,0,0,0,0,0,0,0
40,30,5871.6966101694925,5871.0,466.4292351124887,460.0,18158.0,18158.0,1457.2448922065462,1785.0,26789.67966101695,26020.9,2380.020780464167,1830.0,41118.33220338983,41150.1,3317.8164158249433,2245.4000000000015,0,0,0,0,0,0,0,0
40,40,5880.761016949153,5878.7,421.70537967545994,121.59999999999945,23512.477966101695,23513.0,1375.4007689382,30.799999999999272,34425.32203389831,34141.0,2538.5453285003528,1647.0,53508.849152542374,53145.4,3011.0089972479136,1291.300000000003,0,0,0,0,0,0,0,0
50,0,5168.537288135593,5162.0,429.0698544117645,438.1999999999998,309.04406779661014,308.0,21.374172871162973,0.0,1964.9457627118645,1964.0,145.9712528642894,140.5999999999999,490.65762711864403,489.0,33.9349692662295,0.0,0,0,0,0,0,0,0,0
50,10,5712.03,5706.25,428.96434970989594,286.25,6268.430000000001,6258.0,433.62978167939775,30.800000000000182,10654.571666666665,10300.4,916.6883837555865,707.4500000000007,14050.184999999998,13949.4,1033.5507155604867,754.4000000000005,0,0,0,0,0,0,0,0
50,20,5722.574576271186,5720.8,394.86719879893474,117.59999999999945,12208.0,12208.0,890.7855920671833,135.79999999999927,18684.849152542374,18396.8,1541.2171800205992,1372.5,27549.68644067796,26811.9,2059.544084002794,1537.0999999999985,0,0,0,0,0,0,0,0
50,30,5876.1779661016935,5873.9,384.0979643662209,124.0,18157.477966101695,18158.0,1376.3224473170865,692.7000000000007,26793.39152542373,25956.0,2002.7979337785514,1029.2999999999993,41077.88305084745,40935.0,3095.4317612133636,2142.199999999997,0,0,0,0,0,0,0,0
50,40,5883.52033898305,5883.8,476.92848187183444,125.60000000000036,24158.4593220339,24108.0,2445.3686084965225,2380.0,34726.92372881356,34421.0,2872.3244526856993,1711.4000000000015,54774.593220338975,54671.9,5187.9511843629125,4433.5,0,0,0,0,0,0,0,0
