frequency,num_pairs,influxdb/write_mean,influxdb/write_median,influxdb/write_std,influxdb/write_mad,neo4j/write_mean,neo4j/write_median,neo4j/write_std,neo4j/write_mad,influxdb/read_mean,influxdb/read_median,influxdb/read_std,influxdb/read_mad,neo4j/read_mean,neo4j/read_median,neo4j/read_std,neo4j/read_mad,write_mean,write_median,write_std,write_mad,read_mean,read_median,read_std,read_mad
30,40,17377.78360655738,17612.8,1035.3000016316678,0.0,523.7508196721312,0.0,766.4769530737506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17901.53442622951,17612.8,1801.7769547054183,0.0,0.0,0.0,0.0,0.0
40,0,4129.573770491803,4096.0,366.55137129277006,204.79999999999995,376.0262295081967,0.0,588.3539848426507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4505.599999999999,4096.0,954.9053561354208,204.79999999999995,0.0,0.0,0.0,0.0
40,10,13687.466666666665,13926.4,1087.6736472070816,819.1999999999989,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14206.293333333331,13926.4,1859.7970799827372,819.1999999999989,0.0,0.0,0.0,0.0
40,20,14868.479999999998,15155.2,1159.2429493192803,819.1999999999989,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15387.306666666664,15155.2,1931.366382094936,819.1999999999989,0.0,0.0,0.0,0.0
40,30,16104.106666666667,16384.0,1340.2500266231068,1228.7999999999993,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16622.933333333334,16384.0,2112.3734593987624,1228.7999999999993,0.0,0.0,0.0,0.0
40,40,17237.333333333332,17612.8,1347.3280261685934,819.2000000000007,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17756.16,17612.8,2119.451458944249,819.2000000000007,0.0,0.0,0.0,0.0
50,0,4130.133333333333,4096.0,336.6773190453373,409.5999999999999,368.64,0.0,575.6961078988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4498.7733333333335,4096.0,912.3734269442116,409.5999999999999,0.0,0.0,0.0,0.0
50,10,13691.383606557376,13926.4,1046.2968224327017,819.2000000000007,510.32131147540986,0.0,768.5763863466775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14201.704918032785,13926.4,1814.8732087793792,819.2000000000007,0.0,0.0,0.0,0.0
50,20,14895.786666666669,15155.2,1225.243870476037,1228.7999999999993,525.6533333333334,0.0,769.1332842430172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15421.440000000002,15155.2,1994.3771547190543,1228.7999999999993,0.0,0.0,0.0,0.0
50,30,16145.066666666668,16384.0,1021.2792844887117,0.0,532.4800000000001,0.0,769.8341472577354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16677.54666666667,16384.0,1791.113431746447,0.0,0.0,0.0,0.0,0.0
50,40,17332.906666666666,17612.8,1453.0722649534982,1228.7999999999993,928.4266666666667,0.0,1186.290782794945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18261.333333333332,17612.8,2639.363047748443,1228.7999999999993,0.0,0.0,0.0,0.0
60,0,4130.133333333334,4096.0,353.4432216815868,409.5999999999999,375.46666666666664,0.0,588.4984057208173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4505.6,4096.0,941.9416274024042,409.5999999999999,0.0,0.0,0.0,0.0
60,10,13728.426666666666,13926.4,1166.7047425274825,1228.7999999999993,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14247.253333333332,13926.4,1938.8281753031383,1228.7999999999993,0.0,0.0,0.0,0.0
60,20,14980.61639344262,15155.2,1258.5052804703487,819.1999999999989,517.0360655737705,0.0,765.7036554404077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15497.652459016392,15155.2,2024.2089359107563,819.1999999999989,0.0,0.0,0.0,0.0
