frequency,num_pairs,datamgmt/cpu_mean,datamgmt/cpu_median,datamgmt/cpu_std,datamgmt/cpu_mad,structural/cpu_mean,structural/cpu_median,structural/cpu_std,structural/cpu_mad,continuous/cpu_mean,continuous/cpu_median,continuous/cpu_std,continuous/cpu_mad,neo4j/cpu_mean,neo4j/cpu_median,neo4j/cpu_std,neo4j/cpu_mad,influxdb/cpu_mean,influxdb/cpu_median,influxdb/cpu_std,influxdb/cpu_mad,ros2talker/cpu_mean,ros2talker/cpu_median,ros2talker/cpu_std,ros2talker/cpu_mad,ros2listener/cpu_mean,ros2listener/cpu_median,ros2listener/cpu_std,ros2listener/cpu_mad,stream/cpu_mean,stream/cpu_median,stream/cpu_std,stream/cpu_mad,ros2/cpu_mean,ros2/cpu_median,ros2/cpu_std,ros2/cpu_mad
40,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004884948333333341,0.004988999999999066,0.0004026498514245175,0.00032100000000099323,0.0017469383333333312,0.0016898999999998665,0.000324675963850205,0.00011750000000034801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006631886666666672,0.006678899999998933,0.0007273258152747225,0.00043850000000134125,0.0,0.0,0.0,0.0
40,10,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004214301666666671,0.0042750000000012275,0.000303149949384402,0.0002055999999981857,0.0017945899999999896,0.0017099999999999227,0.0003840507499979008,9.459999999990028e-05,0.09298333333333333,0.09499999999999993,0.002214927308223191,0.00199999999999996,0.05731666666666666,0.05800000000000018,0.002059886567496523,0.0010000000000002437,0.00600889166666666,0.00598500000000115,0.0006872006993823027,0.000300199999998086,0.1503,0.1530000000000001,0.004274813875719714,0.003000000000000204
40,20,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004004583606557356,0.003960600000002045,0.00034641715367698375,0.00020775000000128243,0.0017744803278688668,0.0017035500000005754,0.00037769071977625913,0.00011774999999971671,0.15031147540983603,0.1530000000000001,0.002746286655737191,0.0019999999999995993,0.10050819672131149,0.10199999999999995,0.003218019533426456,0.00199999999999996,0.005779063934426223,0.005664150000002621,0.0007241078734532429,0.00032550000000099914,0.25081967213114753,0.25500000000000006,0.005964306189163647,0.0039999999999995595
40,30,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.003813663934426183,0.0038894500000026255,0.0002913422011624551,0.00018859999999563102,0.0017945983606557454,0.001698849999999652,0.0004727157967591275,0.00013615000000015691,0.2400983606557377,0.24399999999999977,0.004320624562510634,0.0030000000000001137,0.1627540983606557,0.16499999999999987,0.003471270302659294,0.002000000000000335,0.005608262295081929,0.005588300000002278,0.0007640579979215827,0.00032474999999578793,0.40285245901639344,0.40899999999999964,0.007791894865169928,0.0050000000000004485
40,40,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.00365156393442636,0.003691700000001674,0.00028244875243455317,0.00019900000000916407,0.001784137704918033,0.0016918000000003984,0.0004566445392301209,0.00013894999999877213,0.34101639344262297,0.3530000000000001,0.005948640499077044,0.003999999999999226,0.23440983606557375,0.24099999999999966,0.007167365484982893,0.006000000000000227,0.005435701639344393,0.005383500000002072,0.0007390932916646741,0.0003379500000079362,0.5754262295081967,0.5939999999999998,0.013116005984059938,0.009999999999999454
50,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004892983333333328,0.0049514000000002055,0.00044565865506272984,0.00022330000000039298,0.0017625533333333304,0.0017167000000000599,0.00030579438259116233,0.00011820000000000168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006655536666666659,0.006668100000000265,0.0007514530376538922,0.00034150000000039466,0.0,0.0,0.0,0.0
50,10,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004346291666666673,0.0044780000000002925,0.0004717958793740633,0.0002344999999991165,0.0017713433333333246,0.0017062000000009903,0.00037956491817192346,0.00013650000000069444,0.10089999999999999,0.10499999999999972,0.007559002281255037,0.0010000000000005144,0.0661,0.06799999999999998,0.0030853815312622034,0.0010000000000001535,0.006117634999999997,0.006184200000001283,0.0008513607975459867,0.00037099999999981093,0.16699999999999998,0.1729999999999997,0.010644383812517241,0.002000000000000668
50,20,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0039058633333333617,0.003948600000001079,0.00024209619971828598,0.00015379999999822792,0.0017955233333333354,0.001721399999999562,0.00039017875535209855,0.00010519999999871756,0.16605,0.16899999999999976,0.0026681882469819273,0.0019999999999995854,0.11763333333333333,0.1200000000000001,0.0030900189994101665,0.0020000000000001406,0.005701386666666697,0.0056700000000006415,0.0006322749550703845,0.0002589999999969455,0.28368333333333334,0.28899999999999987,0.005758207246392094,0.003999999999999726
50,30,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.003669918333333347,0.0037268000000040048,0.0002629198663676203,0.00018049999999902823,0.0017922999999999926,0.0016925999999983787,0.00039224228968389645,4.57000000011476e-05,0.25043333333333334,0.2540000000000006,0.00474320086150944,0.0030000000000008353,0.1836,0.18699999999999975,0.004749050168037767,0.002999999999999753,0.00546221833333334,0.005419400000002383,0.0006551621560515167,0.00022620000000017583,0.4340333333333334,0.4410000000000004,0.009492251029547207,0.006000000000000588
50,40,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0036588749999998523,0.0036634000000049126,0.00027882232860459283,0.0001786000000038256,0.0017899150000000455,0.0016781000000037239,0.0004617804711887538,4.2499999995015926e-05,0.40795,0.4150000000000006,0.008476046628727477,0.003999999999999171,0.2811833333333333,0.2849999999999994,0.007240746124664463,0.004999999999998284,0.005448789999999898,0.005341500000008636,0.0007406027997933467,0.00022109999999884154,0.6891333333333333,0.7,0.01571679275339194,0.008999999999997454
